YEAR,Result,Position,PLAYER_NAME,Team
2007,Second Team,G,Steve Nash,Phoenix Suns
2007,Second Team,G,Deron Williams,Utah Jazz
2007,Third Team,F,Carlos Boozer,Utah Jazz
2007,Third Team,F,Paul Pierce,Boston Celtics
2007,Third Team,C,Yao Ming,Houston Rockets
2007,Third Team,G,Manu Ginobili,San Antonio Spurs
2007,Third Team,G,Tracy McGrady,Houston Rockets
2008,First Team,F,Dirk Nowitzki,Dallas Mavericks
2008,First Team,F,LeBron James,Cleveland Cavaliers
2008,First Team,C,Dwight Howard,Orlando Magic
2008,First Team,G,Kobe Bryant,Los Angeles Lakers
2008,First Team,G,Dwyane Wade,Miami Heat
2008,Second Team,F,Tim Duncan,San Antonio Spurs
2008,Second Team,F,Paul Pierce,Boston Celtics
2008,Second Team,C,Yao Ming,Houston Rockets
2008,Second Team,G,Chris Paul,New Orleans Hornets
2008,Second Team,G,Brandon Roy,Portland Trail Blazers
2008,Third Team,F,Carmelo Anthony,Denver Nuggets
2008,Third Team,F,Pau Gasol,Los Angeles Lakers
2008,Third Team,C,Shaquille O’Neal,Phoenix Suns
2008,Third Team,G,Chauncey Billups,Detroit Pistons
2008,Third Team,G,Tony Parker,San Antonio Spurs
2009,First Team,F,Kevin Durant,Oklahoma City Thunder
2009,First Team,F,LeBron James,Cleveland Cavaliers
2009,First Team,C,Dwight Howard,Orlando Magic
2009,First Team,G,Kobe Bryant,Los Angeles Lakers
2009,First Team,G,Dwyane Wade,Miami Heat
2009,Second Team,F,Carmelo Anthony,Denver Nuggets
2009,Second Team,F,Dirk Nowitzki,Dallas Mavericks
2009,Second Team,C,Amar’e Stoudemire,Phoenix Suns
2009,Second Team,G,Steve Nash,Phoenix Suns
2009,Second Team,G,Deron Williams,Utah Jazz
2009,Third Team,F,Tim Duncan,San Antonio Spurs
2009,Third Team,F,Pau Gasol,Los Angeles Lakers
2009,Third Team,C,Andrew Bogut,Milwaukee Bucks
2009,Third Team,G,Joe Johnson,Atlanta Hawks
2009,Third Team,G,Brandon Roy,Portland Trail Blazers
2010,First Team,F,Kevin Durant,Oklahoma City Thunder
2010,First Team,F,LeBron James,Miami Heat
2010,First Team,C,Dwight Howard,Orlando Magic
2010,First Team,G,Kobe Bryant,Los Angeles Lakers
2010,First Team,G,Derrick Rose,Chicago Bulls
2010,Second Team,F,Pau Gasol,Los Angeles Lakers
2010,Second Team,F,Dirk Nowitzki,Dallas Mavericks
2010,Second Team,C,Amar’e Stoudemire,New York Knicks
2010,Second Team,G,Dwyane Wade,Miami Heat
2010,Second Team,G,Russell Westbrook,Oklahoma City Thunder
2010,Third Team,F,LaMarcus Aldridge,Portland Trail Blazers
2010,Third Team,F,Zach Randolph,Memphis Grizzlies
2010,Third Team,C,Al Horford,Atlanta Hawks
2010,Third Team,G,Manu Ginobili,San Antonio Spurs
2010,Third Team,G,Chris Paul,New Orleans Hornets
2011,First Team,F,Kevin Durant,Oklahoma City Thunder
2011,First Team,F,LeBron James,Miami Heat
2011,First Team,C,Dwight Howard,Orlando Magic
2011,First Team,G,Kobe Bryant,Los Angeles Lakers
2011,First Team,G,Chris Paul,LA Clippers
2011,Second Team,F,Kevin Love,Minnesota Timberwolves
2011,Second Team,F,Blake Griffin,LA Clippers
2011,Second Team,C,Andrew Bynum,Los Angeles Lakers
2011,Second Team,G,Tony Parker,San Antonio Spurs
2011,Second Team,G,Russell Westbrook,Oklahoma City Thunder
2011,Third Team,F,Carmelo Anthony,New York Knicks
2011,Third Team,F,Dirk Nowitzki,Dallas Mavericks
2011,Third Team,C,Tyson Chandler,New York Knicks
2011,Third Team,G,Dwyane Wade,Miami Heat
2011,Third Team,G,Rajon Rondo,Boston Celtics
2012,First Team,F,LeBron James,Miami Heat
2012,First Team,F,Kevin Durant,Oklahoma City Thunder
2012,First Team,C,Tim Duncan,San Antonio Spurs
2012,First Team,G,Kobe Bryant,Los Angeles Lakers
2012,First Team,G,Chris Paul,LA Clippers
2012,Second Team,F,Carmelo Anthony,New York Knicks
2012,Second Team,F,Blake Griffin,LA Clippers
2012,Second Team,C,Marc Gasol,Memphis Grizzlies
2012,Second Team,G,Tony Parker,San Antonio Spurs
2012,Second Team,G,Russell Westbrook,Oklahoma City Thunder
2012,Third Team,F,David Lee,Golden State Warriors
2012,Third Team,F,Paul George,Indiana Pacers
2012,Third Team,C,Dwight Howard,Los Angeles Lakers
2012,Third Team,G,Dwyane Wade,Miami Heat
2012,Third Team,G,James Harden,Houston Rockets
2013,First Team,F,LeBron James,Miami Heat
2013,First Team,F,Kevin Durant,Oklahoma City Thunder
2013,First Team,C,Tim Duncan,San Antonio Spurs
2013,First Team,G,Kobe Bryant,Los Angeles Lakers
2013,First Team,G,Chris Paul,LA Clippers
2013,Second Team,F,Carmelo Anthony,New York Knicks
2013,Second Team,F,Blake Griffin,LA Clippers
2013,Second Team,C,Marc Gasol,Memphis Grizzlies
2013,Second Team,G,Tony Parker,San Antonio Spurs
2013,Second Team,G,Russell Westbrook,Oklahoma City Thunder
2013,Third Team,F,David Lee,Golden State Warriors
2013,Third Team,F,Paul George,Indiana Pacers
2013,Third Team,C,Dwight Howard,Los Angeles Lakers
2013,Third Team,G,Dwyane Wade,Miami Heat
2013,Third Team,G,James Harden,Houston Rockets
2014,First Team,F,LeBron James,Cleveland Cavaliers
2014,First Team,F,Anthony Davis,New Orleans Pelicans
2014,First Team,C,Marc Gasol,Memphis Grizzlies
2014,First Team,G,Stephen Curry,Golden State Warriors
2014,First Team,G,James Harden,Houston Rockets
2014,Second Team,F,LaMarcus Aldridge,Portland Trail Blazers
2014,Second Team,F,DeMarcus Cousins,Sacramento Kings
2014,Second Team,C,Pau Gasol,Chicago Bulls
2014,Second Team,G,Russell Westbrook,Oklahoma City Thunder
2014,Second Team,G,Chris Paul,LA Clippers
2014,Third Team,F,Blake Griffin,LA Clippers
2014,Third Team,F,Tim Duncan,San Antonio Spurs
2014,Third Team,C,DeAndre Jordan,LA Clippers
2014,Third Team,G,Klay Thompson,Golden State Warriors
2014,Third Team,G,Kyrie Irving,Cleveland Cavaliers
2015,First Team,F,LeBron James,Cleveland Cavaliers
2015,First Team,F,Anthony Davis,New Orleans Pelicans
2015,First Team,C,Marc Gasol,Memphis Grizzlies
2015,First Team,G,Stephen Curry,Golden State Warriors
2015,First Team,G,James Harden,Houston Rockets
2015,Second Team,F,LaMarcus Aldridge,Portland Trail Blazers
2015,Second Team,F,DeMarcus Cousins,Sacramento Kings
2015,Second Team,C,Pau Gasol,Chicago Bulls
2015,Second Team,G,Russell Westbrook,Oklahoma City Thunder
2015,Second Team,G,Chris Paul,LA Clippers
2015,Third Team,F,Blake Griffin,LA Clippers
2015,Third Team,F,Tim Duncan,San Antonio Spurs
2015,Third Team,C,DeAndre Jordan,LA Clippers
2015,Third Team,G,Klay Thompson,Golden State Warriors
